integration,metric_name,metric_type,metric_enabled,metric_description
Mysql,db.innodb.bufferPoolWriteRequestsPerSecond,rate,true,Innodb buffer pool write requests
Mysql,db.innodb.dataFsyncsPerSecond,rate,true,Innodb data fsyncs
Mysql,db.innodb.dataPendingFsyncs,gauge,true,Innodb data pending fsyncs
Mysql,db.innodb.dataPendingReads,gauge,true,Innodb data pending reads
Mysql,db.innodb.dataPendingWrites,gauge,true,Innodb data pending writes
Mysql,db.innodb.dataReadsPerSecond,rate,true,Innodb data reads
Mysql,db.innodb.dataWritesPerSecond,rate,true,Innodb data writes
Mysql,db.innodb.logWriteRequestsPerSecond,rate,true,Innodb log write requests
Mysql,db.innodb.logWritesPerSecond,rate,true,Innodb log writes
Mysql,db.innodb.numOpenFiles,gauge,true,Innodb num open files
Mysql,db.innodb.osLogFsyncsPerSecond,rate,true,Innodb os log fsyncs
Mysql,db.innodb.osLogPendingFsyncs,gauge,true,Innodb os log pending fsyncs
Mysql,db.innodb.osLogPendingWrites,gauge,true,Innodb os log pending writes
Mysql,db.innodb.osLogWrittenBytesPerSecond,rate,true,Innodb os log written
Mysql,db.innodb.pagesCreatedPerSecond,rate,true,Innodb pages created
Mysql,db.innodb.pagesReadPerSecond,rate,true,Innodb pages read
Mysql,db.innodb.pagesWrittenPerSecond,rate,true,Innodb pages written
Mysql,db.innodb.rowsDeletedPerSecond,rate,true,Innodb rows deleted
Mysql,db.innodb.rowsInsertedPerSecond,rate,true,Innodb rows inserted
Mysql,db.innodb.rowsReadPerSecond,rate,true,Innodb rows read
Mysql,db.innodb.rowsUpdatedPerSecond,rate,true,Innodb rows updated
Mysql,db.myisam.keyBlocksNotFlushed,gauge,true,Key blocks not flushed
Mysql,db.myisam.keyCacheUtilization,gauge,true,Key cache utilization
Mysql,db.myisam.keyReadRequestsPerSecond,rate,true,Key read requests
Mysql,db.myisam.keyReadsPerSecond,rate,true,Key reads
Mysql,db.myisam.keyWriteRequestsPerSecond,rate,true,Key write requests
Mysql,db.myisam.keyWritesPerSecond,rate,true,Key_writes
